"GEO_ID","NAME","B19083_001M","B19083_001E",
"Geography","Geographic Area Name","Margin of Error!!Gini Index","Estimate!!Gini Index",
"1600000US0107000","Birmingham city, Alabama","0.021","0.496",
"1600000US0121184","Dothan city, Alabama","0.020","0.467",
"1600000US0135896","Hoover city, Alabama","0.024","0.402",
"1600000US0137000","Huntsville city, Alabama","0.022","0.500",
"1600000US0150000","Mobile city, Alabama","0.020","0.517",
"1600000US0151000","Montgomery city, Alabama","0.022","0.472",
"1600000US0177256","Tuscaloosa city, Alabama","0.048","0.540",
"1600000US0203000","Anchorage municipality, Alaska","0.016","0.427",
"1600000US0404720","Avondale city, Arizona","0.032","0.356",
"1600000US0412000","Chandler city, Arizona","0.019","0.394",
"1600000US0423620","Flagstaff city, Arizona","0.035","0.442",
"1600000US0427400","Gilbert town, Arizona","0.019","0.354",
"1600000US0427820","Glendale city, Arizona","0.017","0.427",
"1600000US0428380","Goodyear city, Arizona","0.025","0.327",
"1600000US0446000","Mesa city, Arizona","0.015","0.425",
"1600000US0454050","Peoria city, Arizona","0.023","0.417",
"1600000US0455000","Phoenix city, Arizona","0.010","0.485",
"1600000US0464210","San Tan Valley CDP, Arizona","0.036","0.313",
"1600000US0465000","Scottsdale city, Arizona","0.021","0.505",
"1600000US0471510","Surprise city, Arizona","0.017","0.350",
"1600000US0473000","Tempe city, Arizona","0.021","0.459",
"1600000US0477000","Tucson city, Arizona","0.015","0.453",
"1600000US0485540","Yuma city, Arizona","0.022","0.385",
"1600000US0523290","Fayetteville city, Arkansas","0.043","0.548",
"1600000US0524550","Fort Smith city, Arkansas","0.052","0.504",
"1600000US0535710","Jonesboro city, Arkansas","0.046","0.535",
"1600000US0541000","Little Rock city, Arkansas","0.021","0.496",
"1600000US0566080","Springdale city, Arkansas","0.036","0.396",
"1600000US0600562","Alameda city, California","0.027","0.458",
"1600000US0600884","Alhambra city, California","0.025","0.430",
"1600000US0602000","Anaheim city, California","0.015","0.430",
"1600000US0602252","Antioch city, California","0.027","0.404",
"1600000US0602364","Apple Valley town, California","0.033","0.444",
"1600000US0602553","Arden-Arcade CDP, California","0.029","0.496",
"1600000US0603526","Bakersfield city, California","0.014","0.442",
"1600000US0603666","Baldwin Park city, California","0.027","0.431",
"1600000US0604982","Bellflower city, California","0.032","0.441",
"1600000US0606000","Berkeley city, California","0.022","0.532",
"1600000US0608786","Buena Park city, California","0.023","0.417",
"1600000US0608954","Burbank city, California","0.019","0.439",
"1600000US0610046","Camarillo city, California","0.030","0.449",
"1600000US0611194","Carlsbad city, California","0.023","0.442",
"1600000US0611530","Carson city, California","0.029","0.397",
"1600000US0613014","Chico city, California","0.032","0.466",
"1600000US0613210","Chino city, California","0.030","0.377",
"1600000US0613214","Chino Hills city, California","0.038","0.359",
"1600000US0613392","Chula Vista city, California","0.017","0.392",
"1600000US0613588","Citrus Heights city, California","0.026","0.365",
"1600000US0614218","Clovis city, California","0.032","0.424",
"1600000US0615044","Compton city, California","0.026","0.393",
"1600000US0616000","Concord city, California","0.021","0.389",
"1600000US0616350","Corona city, California","0.042","0.411",
"1600000US0616532","Costa Mesa city, California","0.020","0.432",
"1600000US0617918","Daly City city, California","0.023","0.375",
"1600000US0618100","Davis city, California","0.044","0.505",
"1600000US0619766","Downey city, California","0.028","0.393",
"1600000US0620802","East Los Angeles CDP, California","0.021","0.396",
"1600000US0621712","El Cajon city, California","0.024","0.441",
"1600000US0622020","Elk Grove city, California","0.017","0.352",
"1600000US0622230","El Monte city, California","0.022","0.406",
"1600000US0622804","Escondido city, California","0.031","0.457",
"1600000US0623182","Fairfield city, California","0.022","0.388",
"1600000US0624638","Folsom city, California","0.033","0.381",
"1600000US0624680","Fontana city, California","0.026","0.401",
"1600000US0626000","Fremont city, California","0.018","0.397",
"1600000US0627000","Fresno city, California","0.015","0.466",
"1600000US0628000","Fullerton city, California","0.031","0.438",
"1600000US0629000","Garden Grove city, California","0.017","0.398",
"1600000US0630000","Glendale city, California","0.017","0.473",
