"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"1600000US0103076","Auburn city, Alabama","0.5591","0.0338",
"1600000US0107000","Birmingham city, Alabama","0.5270","0.0267",
"1600000US0121184","Dothan city, Alabama","0.5002","0.0232",
"1600000US0135896","Hoover city, Alabama","0.4349","0.0318",
"1600000US0137000","Huntsville city, Alabama","0.5047","0.0225",
"1600000US0150000","Mobile city, Alabama","0.5091","0.0215",
"1600000US0151000","Montgomery city, Alabama","0.4596","0.0265",
"1600000US0177256","Tuscaloosa city, Alabama","0.5543","0.0328",
"1600000US0203000","Anchorage municipality, Alaska","0.4326","0.0220",
"1600000US0404720","Avondale city, Arizona","0.3965","0.0315",
"1600000US0407940","Buckeye city, Arizona","0.3531","0.0291",
"1600000US0410670","Casas Adobes CDP, Arizona","0.4372","0.0332",
"1600000US0412000","Chandler city, Arizona","0.4322","0.0265",
"1600000US0423620","Flagstaff city, Arizona","0.4371","0.0306",
"1600000US0427400","Gilbert town, Arizona","0.3926","0.0177",
"1600000US0427820","Glendale city, Arizona","0.4053","0.0170",
"1600000US0428380","Goodyear city, Arizona","0.3603","0.0220",
"1600000US0444410","Maricopa city, Arizona","0.3274","0.0414",
"1600000US0446000","Mesa city, Arizona","0.4346","0.0222",
"1600000US0454050","Peoria city, Arizona","0.4106","0.0230",
"1600000US0455000","Phoenix city, Arizona","0.4662","0.0109",
"1600000US0458150","Queen Creek town, Arizona","0.3389","0.0409",
"1600000US0464210","San Tan Valley CDP, Arizona","0.3898","0.0565",
"1600000US0465000","Scottsdale city, Arizona","0.5349","0.0219",
"1600000US0471510","Surprise city, Arizona","0.3785","0.0275",
"1600000US0473000","Tempe city, Arizona","0.4376","0.0231",
"1600000US0477000","Tucson city, Arizona","0.4737","0.0289",
"1600000US0485540","Yuma city, Arizona","0.4510","0.0384",
"1600000US0515190","Conway city, Arkansas","0.4527","0.0370",
"1600000US0523290","Fayetteville city, Arkansas","0.4837","0.0285",
"1600000US0524550","Fort Smith city, Arkansas","0.5166","0.0410",
"1600000US0535710","Jonesboro city, Arkansas","0.5294","0.0496",
"1600000US0541000","Little Rock city, Arkansas","0.5492","0.0328",
"1600000US0560410","Rogers city, Arkansas","0.4602","0.0508",
"1600000US0566080","Springdale city, Arkansas","0.4436","0.0291",
"1600000US0600562","Alameda city, California","0.4474","0.0368",
"1600000US0600884","Alhambra city, California","0.4884","0.0313",
"1600000US0602000","Anaheim city, California","0.4429","0.0170",
"1600000US0602252","Antioch city, California","0.4439","0.0384",
"1600000US0602364","Apple Valley town, California","0.4701","0.0357",
"1600000US0602553","Arden-Arcade CDP, California","0.4963","0.0321",
"1600000US0603526","Bakersfield city, California","0.4829","0.0293",
"1600000US0603666","Baldwin Park city, California","0.4108","0.0330",
"1600000US0604982","Bellflower city, California","0.4397","0.0282",
"1600000US0606000","Berkeley city, California","0.5615","0.0239",
"1600000US0608142","Brentwood city, California","0.4273","0.0381",
"1600000US0608786","Buena Park city, California","0.4037","0.0377",
"1600000US0608954","Burbank city, California","0.4864","0.0388",
"1600000US0610046","Camarillo city, California","0.5154","0.0868",
"1600000US0611194","Carlsbad city, California","0.4290","0.0247",
"1600000US0611390","Carmichael CDP, California","0.4647","0.0400",
"1600000US0611530","Carson city, California","0.4242","0.0429",
"1600000US0611964","Castro Valley CDP, California","0.4346","0.0369",
"1600000US0613014","Chico city, California","0.4863","0.0428",
"1600000US0613210","Chino city, California","0.3928","0.0283",
"1600000US0613214","Chino Hills city, California","0.4156","0.0308",
"1600000US0613392","Chula Vista city, California","0.4046","0.0193",
"1600000US0613588","Citrus Heights city, California","0.3898","0.0298",
"1600000US0614218","Clovis city, California","0.4470","0.0433",
"1600000US0615044","Compton city, California","0.4100","0.0297",
"1600000US0616000","Concord city, California","0.4282","0.0241",
"1600000US0616350","Corona city, California","0.4125","0.0237",
"1600000US0616532","Costa Mesa city, California","0.4823","0.0312",
"1600000US0617918","Daly City city, California","0.4309","0.0287",
"1600000US0618100","Davis city, California","0.5349","0.0301",
"1600000US0619766","Downey city, California","0.3859","0.0234",
"1600000US0620018","Dublin city, California","0.4267","0.0360",
"1600000US0620802","East Los Angeles CDP, California","0.4283","0.0247",
"1600000US0621230","Eastvale city, California","0.3445","0.0409",
"1600000US0621712","El Cajon city, California","0.4497","0.0311",
"1600000US0622020","Elk Grove city, California","0.4222","0.0263",
"1600000US0622230","El Monte city, California","0.4451","0.0362",
"1600000US0622804","Escondido city, California","0.4444","0.0321",
"1600000US0623182","Fairfield city, California","0.4475","0.0368",
"1600000US0624638","Folsom city, California","0.3961","0.0330",
"1600000US0624680","Fontana city, California","0.3839","0.0210",
"1600000US0626000","Fremont city, California","0.4438","0.0164",
"1600000US0627000","Fresno city, California","0.4891","0.0149",
"1600000US0628000","Fullerton city, California","0.4821","0.0357",
"1600000US0629000","Garden Grove city, California","0.4501","0.0202",
"1600000US0630000","Glendale city, California","0.4981","0.0291",
"1600000US0632548","Hawthorne city, California","0.4653","0.0413",
"1600000US0633000","Hayward city, California","0.4084","0.0237",
"1600000US0633182","Hemet city, California","0.4550","0.0444",
"1600000US0633434","Hesperia city, California","0.3672","0.0328",
"1600000US0636000","Huntington Beach city, California","0.4485","0.0217",
"1600000US0636448","Indio city, California","0.4199","0.0326",
"1600000US0636546","Inglewood city, California","0.4621","0.0343",
"1600000US0636770","Irvine city, California","0.4736","0.0187",
"1600000US0637692","Jurupa Valley city, California","0.4122","0.0409",
"1600000US0639486","Lake Elsinore city, California","0.3844","0.0549",
"1600000US0639496","Lake Forest city, California","0.4506","0.0446",
"1600000US0639892","Lakewood city, California","0.4021","0.0423",
"1600000US0640130","Lancaster city, California","0.4270","0.0259",
"1600000US0641992","Livermore city, California","0.4089","0.0269",
"1600000US0642202","Lodi city, California","0.4376","0.0382",
"1600000US0643000","Long Beach city, California","0.4677","0.0162",
"1600000US0644000","Los Angeles city, California","0.5315","0.0064",
"1600000US0644574","Lynwood city, California","0.3901","0.0349",
"1600000US0645022","Madera city, California","0.4614","0.0713",
"1600000US0645484","Manteca city, California","0.4343","0.0647",
"1600000US0646842","Menifee city, California","0.4294","0.0507",
"1600000US0646898","Merced city, California","0.4562","0.0518",
"1600000US0647766","Milpitas city, California","0.4101","0.0281",
"1600000US0648256","Mission Viejo city, California","0.4219","0.0276",
"1600000US0648354","Modesto city, California","0.4485","0.0224",
"1600000US0649270","Moreno Valley city, California","0.3928","0.0275",
"1600000US0649670","Mountain View city, California","0.4891","0.0252",
"1600000US0650076","Murrieta city, California","0.3887","0.0314",
