DATE,LAUST010000000000003A
1990-01-01,6.8
1991-01-01,7.3
1992-01-01,7.5
1993-01-01,7.2
1994-01-01,6.2
1995-01-01,5.9
1996-01-01,5.2
1997-01-01,4.9
1998-01-01,4.5
1999-01-01,4.7
2000-01-01,4.6
2001-01-01,5.2
2002-01-01,5.9
2003-01-01,6.0
2004-01-01,5.6
2005-01-01,4.4
2006-01-01,4.0
2007-01-01,4.1
2008-01-01,5.8
2009-01-01,10.1
2010-01-01,10.4
2011-01-01,9.6
2012-01-01,8.2
2013-01-01,7.3
2014-01-01,6.7
2015-01-01,6.1
2016-01-01,5.9
2017-01-01,4.5
2018-01-01,3.9
2019-01-01,3.2
2020-01-01,6.4
2021-01-01,3.4
2022-01-01,2.5
2023-01-01,2.5
