DATE,LAUST120000000000003A
1990-01-01,6.2
1991-01-01,7.6
1992-01-01,8.4
1993-01-01,7.4
1994-01-01,6.5
1995-01-01,5.6
1996-01-01,5.3
1997-01-01,4.9
1998-01-01,4.4
1999-01-01,3.9
2000-01-01,3.8
2001-01-01,4.4
2002-01-01,4.9
2003-01-01,4.5
2004-01-01,3.8
2005-01-01,2.9
2006-01-01,2.5
2007-01-01,3.3
2008-01-01,5.7
2009-01-01,9.6
2010-01-01,10.8
2011-01-01,10.0
2012-01-01,8.6
2013-01-01,7.5
2014-01-01,6.4
2015-01-01,5.5
2016-01-01,4.9
2017-01-01,4.3
2018-01-01,3.6
2019-01-01,3.3
2020-01-01,8.1
2021-01-01,4.7
2022-01-01,3.0
2023-01-01,2.9
