SQGDP1 State quarterly gross domestic product (GDP) summary
SQGDP1 State quarterly gross domestic product (GDP) summary
State or DC
GeoFips,GeoName,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
00000,United States,20044077.0,20150476.0,20276154.0,20304874.0,20415150.0,20584528.0,20817581.0,20951088.0,20665553.0,19034830.0,20511785.0,20724128.0,20990541.0,21309544.0,21483083.0,21847602.0,21738871.0,21708160.0,21851134.0,21989981.0,22112329.0,22225350.0,22490692.0,22679255.0,22758752.0
01000,Alabama,220305.3,220359.9,220538.7,222031.1,222527.4,223826.2,226118.9,227305.8,225636.9,208265.6,227209.7,227213.6,229825.9,231316.0,231656.6,234772.1,234001.2,233768.0,236230.3,239229.8,239692.9,239849.0,242299.0,245171.4,246955.0
02000,Alaska,52862.3,52478.1,52406.0,52171.9,52004.2,51913.5,52875.1,52508.3,52257.9,48419.9,49997.8,50702.9,50861.0,50768.8,51130.4,51327.1,49671.3,50031.3,50392.8,51165.1,52167.3,52779.2,53246.0,53832.6,54178.9
04000,Arizona,343691.8,344779.6,347833.1,349288.8,352764.7,356912.1,362640.0,366266.1,361909.0,343584.9,368200.6,376719.4,380130.9,387374.6,393615.1,402100.0,399492.0,401469.6,403889.1,409046.1,409513.5,411009.0,415961.2,420609.5,423943.9
05000,Arkansas,125983.2,125955.3,126686.7,126859.7,126243.8,126235.1,127628.7,128756.5,128948.9,121693.5,130614.5,130987.9,133754.2,135483.3,135773.4,137264.2,136499.6,135081.2,137995.2,139846.2,140575.4,140438.1,140677.7,141447.7,142338.7
06000,California,2810189.7,2840073.8,2870080.4,2883537.2,2901258.9,2945877.3,2981748.2,3022284.0,2981516.2,2740957.3,2962454.8,3015659.5,3073148.1,3118759.2,3165183.8,3227650.3,3176097.8,3160898.6,3172373.5,3160473.3,3191531.3,3213435.4,3251275.2,3276362.0,3286518.2
08000,Colorado,365126.3,364014.6,364299.1,367378.2,373512.4,380662.0,389786.6,390422.8,389417.7,360039.5,385399.1,388831.3,398009.9,404784.1,409004.6,416047.6,414786.6,412280.5,416776.3,420614.1,422277.0,424980.9,430996.2,433907.5,436328.3
09000,Connecticut,275241.5,273039.9,276459.2,273590.6,273004.3,273573.3,274121.2,276178.7,265209.2,243593.4,261636.2,264061.4,262341.5,268505.7,270634.0,273905.6,275890.6,274595.8,276424.6,279764.0,279909.6,280439.5,283694.0,285870.8,286362.0
10000,Delaware,69806.5,70094.3,71533.9,71991.0,73103.4,74219.1,75275.0,75792.2,73596.0,69239.7,73724.3,73641.3,73843.8,74381.7,74328.0,75193.2,74961.9,75105.0,75110.0,75513.6,73902.5,73769.6,74362.0,75017.1,75590.5
11000,District of Columbia,136535.9,137772.8,139309.9,138608.5,136982.5,138361.2,139455.9,140669.9,140209.8,132870.9,137698.8,140269.6,139273.2,142186.0,143983.5,145262.5,144129.4,143971.2,143733.8,144283.9,144558.2,145118.4,145995.8,146300.7,146770.5
