,2019,2020,2021,2022
United States,"20,573,580,103","20,106,509,888","21,271,676,784","21,668,520,913"
,,,,
Alabama,"224,944,577","222,081,439","231,892,626","235,807,320"
Autauga,"1,730,861","1,722,438","1,727,818","1,929,264"
Baldwin,"8,148,786","8,102,009","8,738,819","8,924,207"
Barbour,"762,557","731,636","747,888","745,349"
Bibb,"441,359","460,018","458,049","448,464"
Blount,"1,014,620","907,179","1,025,600","1,045,845"
Bullock,"266,230","268,773","258,126","247,403"
Butler,"638,217","603,301","634,002","652,201"
Calhoun,"4,555,074","4,461,364","4,624,647","4,608,415"
Chambers,"938,023","880,665","871,486","894,548"
Cherokee,"575,624","536,093","595,234","606,899"
Chilton,"1,114,286","1,065,893","1,086,812","1,077,591"
Choctaw,"559,692","561,198","573,867","611,338"
Clarke,"835,887","848,612","845,024","817,215"
Clay,"425,949","425,117","433,167","433,948"
Cleburne,"285,759","280,954","316,333","332,525"
Coffee,"1,441,716","1,406,676","1,607,264","1,641,541"
Colbert,"2,570,117","2,532,200","2,551,784","2,635,868"
Conecuh,"391,837","366,987","379,476","350,708"
Coosa,"190,197","176,564","177,586","197,269"
Covington,"1,209,690","1,211,960","1,252,767","1,229,523"
Crenshaw,"464,820","377,517","417,294","443,859"
Cullman,"2,921,760","2,807,266","3,020,298","3,112,513"
Dale,"2,806,488","2,784,502","2,891,514","2,884,753"
Dallas,"1,263,447","1,250,079","1,259,154","1,196,269"
DeKalb,"2,012,749","1,877,040","2,120,202","2,181,316"
Elmore,"2,016,328","1,961,812","2,038,808","2,064,691"
Escambia,"1,249,769","1,194,921","1,199,168","1,187,779"
Etowah,"3,067,345","2,835,555","2,900,784","2,924,073"
Fayette,"346,343","335,912","346,793","337,710"
Franklin,"987,027","909,048","977,743","1,029,838"
Geneva,"564,534","559,250","578,794","557,507"
Greene,"229,369","209,430","194,567","200,050"
Hale,"268,730","274,917","250,191","228,355"
Henry,"444,339","448,637","464,381","448,995"
Houston,"5,533,187","5,585,685","5,805,447","5,709,703"
Jackson,"1,552,192","1,455,231","1,521,659","1,484,505"
Jefferson,"45,980,233","45,507,114","47,784,600","48,581,447"
Lamar,"339,487","326,562","332,753","323,734"
Lauderdale,"2,646,302","2,624,507","2,751,783","2,770,761"
Lawrence,"558,625","560,481","600,832","582,451"
Lee,"6,342,058","6,187,153","6,561,345","6,860,502"
Limestone,"4,015,687","4,003,975","4,453,940","4,685,164"
Lowndes,"390,275","380,119","388,468","403,938"
Macon,"545,856","526,517","538,414","557,814"
Madison,"26,135,760","26,664,413","27,845,501","28,787,879"
Marengo,"777,253","798,503","825,205","799,526"
Marion,"876,567","872,769","931,377","938,817"
Marshall,"3,603,497","3,503,383","3,727,967","3,828,507"
Mobile,"20,390,109","20,587,126","21,408,416","21,926,659"
Monroe,"667,798","642,815","646,494","604,595"
Montgomery,"14,155,550","13,809,130","14,229,963","14,441,833"
Morgan,"5,612,432","5,736,298","5,831,582","6,014,993"
Perry,"203,930","201,405","186,038","165,321"
Pickens,"445,907","440,286","432,601","444,818"
Pike,"1,401,326","1,382,210","1,524,851","1,565,154"
Randolph,"478,635","463,618","502,363","512,986"
Russell,"1,513,704","1,516,988","1,604,555","1,613,861"
St. Clair,"2,117,956","1,994,525","2,080,516","2,110,781"
Shelby,"12,197,103","12,194,822","12,826,439","12,947,298"
Sumter,"317,803","324,418","318,297","304,877"
Talladega,"3,195,372","3,056,612","3,143,057","3,278,496"
Tallapoosa,"1,419,664","1,325,850","1,406,524","1,448,394"
Tuscaloosa,"10,909,023","10,320,448","10,405,704","10,218,891"
Walker,"1,836,335","1,678,336","1,674,850","1,728,974"
Washington,"836,097","828,366","868,478","863,463"
Wilcox,"434,333","409,165","351,486","314,907"
Winston,"781,080","798,809","810,262","813,897"
,,,,
Alaska,"52,325,267","50,344,621","51,021,839","50,315,131"
Aleutians East Borough,"319,484","252,358","277,219","290,811"
Aleutians West Census Area,"601,260","670,490","657,526","690,977"
Anchorage Municipality,"23,072,230","22,410,855","23,030,206","22,928,246"
Bethel Census Area,"710,934","686,331","661,157","677,999"
Bristol Bay Borough,"138,377","126,140","143,548","151,534"
Chugach Census Area1,(NA),"1,356,522","1,517,396","1,532,257"
Copper River Census Area1,(NA),"107,882","124,092","127,377"
Denali Borough,"271,443","205,321","242,486","282,233"
Dillingham Census Area,"268,201","249,179","240,338","250,663"
Fairbanks North Star Borough,"5,668,703","5,462,327","5,646,088","5,532,492"
Haines Borough,"120,582","88,873","94,173","102,242"
Hoonah-Angoon Census Area,"91,133","78,022","83,737","96,877"
Juneau City and Borough,"2,425,746","2,310,434","2,367,333","2,379,361"
Kenai Peninsula Borough,"2,672,406","2,709,823","2,599,157","2,541,367"
Ketchikan Gateway Borough,"950,776","803,682","825,532","843,173"
Kodiak Island Borough,"804,093","775,101","764,250","788,771"
Kusilvak Census Area,"158,022","149,082","145,259","148,131"
Lake and Peninsula Borough,"87,381","79,825","107,055","86,097"
Matanuska-Susitna Borough,"2,878,441","2,962,159","3,059,715","3,149,033"
Nome Census Area,"445,445","426,177","429,753","455,576"
North Slope Borough,"6,012,465","6,188,650","5,662,665","5,116,686"
Northwest Arctic Borough,"597,631","633,274","575,193","568,340"
Petersburg Borough,"175,770","167,287","175,079","160,827"
Prince of Wales-Hyder Census Area,"259,823","242,922","238,950","240,661"
Sitka City and Borough,"496,709","434,428","483,863","508,340"
Skagway Municipality,"98,720","61,452","67,838","73,367"
Southeast Fairbanks Census Area,"553,670","620,950","672,216","638,767"
Valdez-Cordova Census Area1,"2,086,984",(NA),(NA),(NA)
Wrangell City and Borough,"89,410","83,620","80,970","83,427"
Yakutat City and Borough,"31,958","34,027","38,084","40,204"
Yukon-Koyukuk Census Area,"288,294","278,077","279,889","283,973"
,,,,
Arizona,"359,645,749","362,603,499","390,805,167","403,474,201"
Apache,"2,399,841","2,332,203","2,344,892","2,231,257"
Cochise,"4,693,345","4,987,234","4,878,561","4,855,020"
Coconino,"7,675,239","6,954,326","7,483,588","7,696,628"
Gila,"1,646,284","1,726,679","1,853,702","1,799,560"
Graham,"1,045,003","1,189,701","1,360,297","1,248,772"
Greenlee,"1,305,215","1,543,251","1,911,407","1,600,809"
La Paz,"692,747","679,656","740,315","676,852"
Maricopa,"260,460,624","263,448,936","286,493,701","298,240,414"
Mohave,"5,639,351","5,773,611","6,269,010","6,257,347"
Navajo,"2,824,979","2,759,998","2,817,394","2,804,006"
Pima,"45,085,532","44,978,084","47,065,575","47,959,709"
Pinal,"9,139,130","9,345,582","9,849,538","9,982,112"
Santa Cruz,"1,914,159","1,934,498","2,013,502","2,022,514"
Yavapai,"7,388,378","7,450,732","8,087,008","8,092,110"
Yuma,"7,747,758","7,516,153","7,658,882","8,137,550"
,,,,
Arkansas,"127,216,019","128,061,208","135,568,770","137,355,545"
Arkansas,"1,028,801","1,050,529","1,155,743","1,036,351"
Ashley,"782,866","735,400","724,262","728,373"
Baxter,"1,583,090","1,546,043","1,592,306","1,628,561"
Benton,"15,663,064","16,479,460","17,989,743","18,675,011"
Boone,"1,305,222","1,298,899","1,400,918","1,412,493"
Bradley,"332,138","327,574","341,078","334,315"
Calhoun,"320,328","342,036","370,506","339,866"
Carroll,"840,073","809,833","907,829","968,041"
Chicot,"264,364","270,734","299,503","245,185"
Clark,"788,071","775,859","778,894","751,849"
Clay,"322,000","331,722","375,143","349,451"
Cleburne,"631,687","605,776","631,337","622,875"
Cleveland,"118,006","115,656","126,726","151,474"
Columbia,"887,388","871,509","951,637","981,839"
Conway,"672,040","675,109","738,316","746,263"
Craighead,"4,834,967","4,877,701","5,322,808","5,245,632"
Crawford,"1,693,406","1,686,363","1,732,582","1,749,952"
Crittenden,"1,787,273","1,743,160","1,740,640","1,671,569"
Cross,"433,142","447,939","452,087","419,117"
Dallas,"219,458","243,257","252,005","238,227"
Desha,"530,740","549,845","572,936","516,319"
Drew,"600,141","585,362","608,068","600,632"
Faulkner,"3,907,751","3,919,933","4,040,159","4,146,551"
Franklin,"416,234","429,788","419,206","450,117"
Fulton,"183,786","184,599","195,826","200,824"
Garland,"3,432,909","3,396,356","3,488,827","3,498,943"
Grant,"421,132","406,252","421,434","405,324"
Greene,"1,482,196","1,449,278","1,573,146","1,587,303"
Hempstead,"920,990","938,395","953,880","1,008,658"
Hot Spring,"975,701","985,536","1,034,840","1,150,517"
Howard,"568,082","572,350","621,240","640,845"
Independence,"1,781,914","1,655,103","1,794,652","1,850,946"
Izard,"273,631","256,726","276,061","286,550"
Jackson,"661,606","669,126","691,488","733,508"
Jefferson,"3,051,660","2,867,547","2,997,957","2,909,795"
Johnson,"658,126","643,059","700,485","737,464"
Lafayette,"121,385","114,834","134,973","140,066"
Lawrence,"431,091","439,496","426,364","444,888"
Lee,"182,262","161,349","201,107","158,901"
Lincoln,"225,148","224,917","265,123","246,785"
Little River,"489,264","511,076","493,257","496,016"
Logan,"434,538","420,535","453,272","489,303"
Lonoke,"1,318,481","1,352,526","1,444,352","1,409,825"
Madison,"343,452","346,553","426,740","482,194"
Marion,"570,355","555,341","599,439","666,082"
Miller,"1,363,035","1,338,315","1,341,394","1,299,941"
Mississippi,"2,588,229","2,655,290","2,958,740","2,992,677"
Monroe,"182,240","199,441","199,096","171,858"
Montgomery,"138,306","132,621","140,944","140,980"
Nevada,"238,652","232,439","233,151","230,798"
Newton,"104,380","96,725","102,781","104,120"
Ouachita,"622,005","616,962","629,377","656,225"
Perry,"148,466","145,188","163,469","166,505"
Phillips,"530,855","531,038","576,579","499,944"
Pike,"248,934","252,022","259,966","271,691"
Poinsett,"573,639","580,524","614,067","555,034"
Polk,"508,786","506,991","564,792","590,519"
Pope,"2,837,045","2,908,339","2,878,382","2,908,637"
Prairie,"166,603","194,810","198,889","180,502"
Pulaski,"29,063,376","29,111,085","30,167,606","30,579,205"
Randolph,"497,913","488,438","541,105","567,773"
St. Francis,"718,387","717,299","738,340","695,578"
Saline,"2,569,194","2,729,538","2,906,643","3,070,928"
Scott,"261,445","261,307","330,248","353,079"
Searcy,"178,065","168,886","183,099","182,422"
Sebastian,"6,731,684","6,664,587","6,918,171","7,068,271"
Sevier,"465,399","420,846","488,725","539,790"
Sharp,"328,925","303,954","360,049","397,995"
Stone,"235,575","224,585","250,346","255,235"
Union,"2,427,703","2,469,781","2,537,866","2,579,072"
Van Buren,"348,790","345,204","376,283","370,396"
Washington,"11,659,987","11,975,078","13,015,375","13,190,992"
White,"2,196,951","2,160,299","2,346,307","2,360,524"
Woodruff,"212,888","232,288","248,182","240,728"
Yell,"577,300","538,434","616,929","669,036"
,,,,
California,"2,962,792,081","2,925,146,950","3,146,185,348","3,167,460,825"
Alameda,"139,402,982","136,223,264","145,604,956","148,710,279"
Alpine,"133,334","106,827","106,291","102,508"
Amador,"1,679,363","1,573,820","1,575,602","1,603,830"
Butte,"9,447,628","8,878,582","9,070,391","9,106,972"
Calaveras,"1,473,978","1,324,807","1,344,011","1,362,966"
Colusa,"1,324,159","1,492,977","1,345,914","1,366,634"
Contra Costa,"78,510,880","71,114,009","77,220,621","76,340,778"
Del Norte,"776,240","780,330","806,076","793,917"
El Dorado,"8,331,055","7,757,064","8,122,482","8,382,976"
Fresno,"44,985,158","44,298,577","45,813,064","45,388,356"
Glenn,"1,028,927","1,067,565","1,075,795","967,170"
Humboldt,"5,636,655","5,364,541","5,527,476","5,629,986"
Imperial,"8,285,950","8,639,503","8,201,308","8,517,940"
Inyo,"1,222,163","1,133,755","1,109,885","1,120,740"
Kern,"45,414,089","45,439,983","45,334,031","43,822,046"
Kings,"6,453,745","6,550,767","6,591,539","6,607,669"
Lake,"1,928,586","1,873,782","1,908,755","1,867,799"
Lassen,"1,145,454","1,173,062","1,146,317","1,079,581"
Los Angeles,"766,866,344","728,748,544","773,824,541","790,016,435"
Madera,"6,244,195","6,240,107","6,410,911","6,140,436"
Marin,"29,733,453","29,644,699","30,358,174","30,668,950"
Mariposa,"745,255","658,783","680,334","704,140"
Mendocino,"3,510,861","3,389,345","3,569,466","3,519,898"
Merced,"9,229,029","9,094,702","9,236,208","9,251,611"
Modoc,"409,155","453,496","445,301","431,710"
Mono,"1,029,751","929,565","1,025,730","1,078,682"
Monterey,"27,426,311","26,964,076","27,192,351","26,728,936"
Napa,"10,987,735","10,386,964","11,381,396","11,316,575"
Nevada,"4,381,871","4,274,263","4,456,112","4,543,195"
Orange,"257,959,284","252,505,652","268,128,135","270,440,831"
Placer,"23,899,004","23,832,648","26,061,039","26,571,231"
Plumas,"1,020,522","890,698","821,869","893,623"
Riverside,"90,583,356","88,835,097","94,364,944","95,159,114"
Sacramento,"94,028,313","92,019,955","97,236,248","98,990,166"
San Benito,"2,346,845","2,187,319","2,306,012","2,261,595"
San Bernardino,"94,078,804","93,729,451","99,325,961","100,649,568"
San Diego,"236,250,458","232,701,672","250,063,598","257,341,197"
San Francisco,"202,552,979","210,152,550","239,696,745","233,953,076"
San Joaquin,"31,216,949","30,957,345","33,356,039","32,624,193"
San Luis Obispo,"17,239,485","16,943,323","17,484,003","17,761,567"
San Mateo,"140,568,773","144,137,263","163,395,545","165,414,201"
Santa Barbara,"28,901,426","29,367,094","31,365,482","31,147,307"
Santa Clara,"318,506,750","339,750,453","385,798,950","382,786,734"
Santa Cruz,"15,339,913","15,222,100","16,385,408","16,408,162"
Shasta,"8,349,619","8,133,732","8,172,559","8,126,075"
Sierra,"97,291","89,131","88,040","96,666"
Siskiyou,"1,636,399","1,639,757","1,601,502","1,594,553"
Solano,"29,784,508","30,144,992","30,523,673","28,736,277"
Sonoma,"30,422,053","29,521,868","31,391,109","31,368,529"
Stanislaus,"23,293,606","22,610,630","23,527,205","23,457,778"
Sutter,"3,468,960","3,553,806","3,809,954","3,861,722"
Tehama,"2,016,766","2,043,161","2,057,804","1,986,742"
Trinity,"395,339","406,065","379,121","370,586"
Tulare,"18,501,702","18,133,092","18,291,332","18,098,172"
Tuolumne,"2,562,972","2,297,906","2,306,557","2,364,198"
Ventura,"51,639,533","51,144,528","52,906,964","52,689,371"
Yolo,"15,432,370","14,888,664","15,525,328","15,675,696"
Yuba,"3,312,133","3,186,597","3,204,018","3,152,201"
,,,,
Colorado,"383,595,975","380,921,899","406,961,532","416,114,361"
Adams,"28,242,423","28,432,213","30,195,165","30,417,710"
Alamosa,"714,134","676,575","697,480","667,241"
Arapahoe,"48,935,672","49,356,384","51,060,223","51,907,882"
Archuleta,"524,554","512,192","543,524","536,520"
Baca,"109,199","110,069","126,937","90,865"
Bent,"130,200","126,269","129,021","104,847"
Boulder,"29,675,687","29,149,041","31,164,647","32,366,443"
Broomfield,"7,769,186","8,410,904","9,220,035","9,875,420"
Chaffee,"812,696","803,655","877,366","923,483"
Cheyenne,"152,796","157,189","268,021","225,906"
Clear Creek,"510,813","458,996","453,180","489,076"
Conejos,"202,589","197,039","200,227","146,533"
Costilla,"90,373","83,847","80,248","80,316"
Crowley,"118,957","116,982","118,584","81,960"
Custer,"138,599","133,029","152,786","161,211"
Delta,"857,113","865,487","848,581","864,046"
Denver,"81,847,452","81,106,700","90,125,050","96,723,136"
Dolores,"109,603","99,324","96,343","97,584"
Douglas,"19,732,560","20,685,090","21,882,857","23,055,766"
Eagle,"4,269,058","4,064,792","4,603,031","4,766,584"
Elbert,"713,323","707,248","781,676","786,665"
El Paso,"36,754,546","37,861,027","39,902,458","40,283,198"
Fremont,"1,421,765","1,415,918","1,475,276","1,514,276"
Garfield,"3,734,069","3,569,193","3,739,932","3,576,538"
Gilpin,"621,252","531,034","667,277","703,080"
Grand,"984,840","886,555","999,197","1,022,285"
Gunnison,"1,063,392","990,435","1,066,040","1,180,904"
Hinsdale,"39,441","36,973","38,137","40,578"
Huerfano,"218,418","231,406","247,614","242,371"
Jackson,"139,458","112,830","107,896","90,327"
Jefferson,"33,509,272","33,187,800","34,621,810","35,362,942"
Kiowa,"73,791","62,621","92,820","39,361"
Kit Carson,"370,051","350,799","493,936","400,534"
Lake,"306,526","301,141","318,068","344,487"
La Plata,"3,123,825","2,992,923","3,141,564","3,067,952"
Larimer,"20,425,737","20,431,541","21,886,159","22,240,217"
Las Animas,"530,881","523,743","505,527","472,329"
Lincoln,"358,089","365,401","382,573","348,018"
Logan,"982,461","911,750","1,037,893","989,351"
Mesa,"6,825,311","6,634,541","6,885,621","6,892,730"
Mineral,"59,598","51,285","59,180","62,174"
Moffat,"1,004,112","1,005,486","1,053,681","1,082,175"
Montezuma,"1,425,441","1,229,433","1,323,197","1,241,890"
Montrose,"1,604,966","1,574,154","1,625,362","1,646,722"
Morgan,"1,541,163","1,468,908","1,516,862","1,354,877"
Otero,"579,074","565,897","582,018","529,354"
Ouray,"207,696","213,027","265,904","242,025"
Park,"422,958","413,268","453,440","477,523"
Phillips,"189,693","179,572","197,724","166,179"
Pitkin,"2,412,710","2,182,437","2,479,414","2,667,189"
Prowers,"495,901","443,432","506,399","397,143"
Pueblo,"6,417,332","6,179,360","6,616,075","6,510,540"
Rio Blanco,"582,577","557,718","567,205","550,209"
Rio Grande,"470,645","465,819","437,544","369,167"
Routt,"2,030,834","1,861,306","2,115,227","2,241,414"
Saguache,"216,669","189,414","195,640","159,703"
San Juan,"36,106","33,144","38,088","39,700"
San Miguel,"652,216","616,683","755,060","785,429"
Sedgwick,"75,647","66,436","80,213","63,212"
Summit,"2,759,136","2,546,647","2,861,880","2,974,044"
Teller,"957,666","993,924","1,024,376","1,048,247"
Washington,"150,548","129,039","168,627","121,710"
Weld,"21,722,559","19,737,477","20,178,684","18,410,721"
Yuma,"464,330","399,874","435,858","366,139"
,,,,
Connecticut,"274,219,351","258,625,032","268,846,677","276,668,755"
Fairfield,"88,934,335","83,855,524","87,235,525","90,361,060"
Hartford,"86,102,668","79,709,107","83,341,632","85,951,890"
Litchfield,"8,315,237","8,093,020","8,736,437","9,056,222"
Middlesex,"9,772,486","9,146,260","9,351,538","9,680,844"
New Haven,"51,494,190","49,996,059","52,016,888","52,659,909"
New London,"19,209,683","17,957,743","18,262,159","18,792,350"
Tolland,"5,492,343","5,107,898","5,212,167","5,351,325"
Windham,"4,906,700","4,758,386","4,697,941","4,827,252"
,,,,
Delaware,"74,597,399","72,550,314","74,436,666","75,172,590"
Kent,"8,384,005","8,000,617","8,254,518","8,312,232"
New Castle,"52,410,571","51,226,928","52,034,009","52,459,336"
Sussex,"13,811,749","13,330,228","14,154,897","14,407,861"
,,,,
District of Columbia,"138,867,379","137,762,271","142,676,290","144,029,597"
,,,,
Florida,"1,079,271,045","1,068,377,540","1,164,778,182","1,218,430,197"
Alachua,"14,070,148","13,996,423","14,937,482","15,415,264"
Baker,"651,384","704,618","735,779","746,597"
Bay,"8,658,254","8,771,093","9,501,883","9,794,242"
Bradford,"617,665","651,723","638,836","652,739"
