DATE,LAUST170000000000003A
1990-01-01,6.3
1991-01-01,7.3
1992-01-01,7.9
1993-01-01,7.5
1994-01-01,5.8
1995-01-01,5.2
1996-01-01,5.3
1997-01-01,4.8
1998-01-01,4.5
1999-01-01,4.4
2000-01-01,4.4
2001-01-01,5.4
2002-01-01,6.6
2003-01-01,6.7
2004-01-01,6.2
2005-01-01,5.7
2006-01-01,4.6
2007-01-01,5.1
2008-01-01,6.5
2009-01-01,10.2
2010-01-01,10.5
2011-01-01,9.8
2012-01-01,9.0
2013-01-01,9.1
2014-01-01,7.2
2015-01-01,6.0
2016-01-01,5.9
2017-01-01,4.9
2018-01-01,4.4
2019-01-01,4.0
2020-01-01,9.3
2021-01-01,6.1
2022-01-01,4.6
2023-01-01,4.5
