DATE,LAUST250000000000003A
1990-01-01,6.4
1991-01-01,8.8
1992-01-01,8.8
1993-01-01,7.3
1994-01-01,6.2
1995-01-01,5.5
1996-01-01,4.6
1997-01-01,4.1
1998-01-01,3.4
1999-01-01,3.3
2000-01-01,2.8
2001-01-01,3.8
2002-01-01,5.2
2003-01-01,5.7
2004-01-01,5.1
2005-01-01,4.8
2006-01-01,4.7
2007-01-01,4.5
2008-01-01,5.3
2009-01-01,8.1
2010-01-01,8.1
2011-01-01,7.2
2012-01-01,6.7
2013-01-01,6.6
2014-01-01,5.7
2015-01-01,4.8
2016-01-01,4.0
2017-01-01,3.8
2018-01-01,3.5
2019-01-01,3.0
2020-01-01,9.3
2021-01-01,5.4
2022-01-01,3.7
2023-01-01,3.4
