DATE,LAUST340000000000003A
1990-01-01,5.1
1991-01-01,6.8
1992-01-01,8.5
1993-01-01,7.8
1994-01-01,6.8
1995-01-01,6.4
1996-01-01,6.1
1997-01-01,5.3
1998-01-01,4.6
1999-01-01,4.4
2000-01-01,3.7
2001-01-01,4.2
2002-01-01,5.8
2003-01-01,5.8
2004-01-01,4.9
2005-01-01,4.4
2006-01-01,4.6
2007-01-01,4.2
2008-01-01,5.4
2009-01-01,9.0
2010-01-01,9.7
2011-01-01,9.4
2012-01-01,9.4
2013-01-01,8.4
2014-01-01,6.7
2015-01-01,5.7
2016-01-01,4.9
2017-01-01,4.5
2018-01-01,4.0
2019-01-01,3.5
2020-01-01,9.4
2021-01-01,6.7
2022-01-01,3.9
2023-01-01,4.4
