DATE,LAUST370000000000003A
1990-01-01,4.1
1991-01-01,5.9
1992-01-01,6.3
1993-01-01,5.1
1994-01-01,4.4
1995-01-01,4.4
1996-01-01,4.4
1997-01-01,3.8
1998-01-01,3.5
1999-01-01,3.3
2000-01-01,3.7
2001-01-01,5.6
2002-01-01,6.9
2003-01-01,6.7
2004-01-01,5.9
2005-01-01,5.6
2006-01-01,5.1
2007-01-01,5.1
2008-01-01,6.2
2009-01-01,11.0
2010-01-01,10.7
2011-01-01,10.3
2012-01-01,9.5
2013-01-01,7.8
2014-01-01,6.1
2015-01-01,5.7
2016-01-01,5.1
2017-01-01,4.5
2018-01-01,4.0
2019-01-01,3.9
2020-01-01,7.2
2021-01-01,4.9
2022-01-01,3.7
2023-01-01,3.5
