DATE,LAUST420000000000003A
1990-01-01,5.5
1991-01-01,6.9
1992-01-01,7.5
1993-01-01,6.9
1994-01-01,6.3
1995-01-01,5.9
1996-01-01,5.5
1997-01-01,5.1
1998-01-01,4.7
1999-01-01,4.5
2000-01-01,4.2
2001-01-01,4.8
2002-01-01,5.6
2003-01-01,5.7
2004-01-01,5.4
2005-01-01,5.0
2006-01-01,4.7
2007-01-01,4.6
2008-01-01,5.3
2009-01-01,8.0
2010-01-01,8.2
2011-01-01,7.8
2012-01-01,7.7
2013-01-01,7.1
2014-01-01,5.9
2015-01-01,5.4
2016-01-01,5.3
2017-01-01,5.0
2018-01-01,4.4
2019-01-01,4.3
2020-01-01,8.9
2021-01-01,5.9
2022-01-01,4.1
2023-01-01,3.4
