STABBREV,STATNAM,POP1980,POP1990,POP2000,POP2010,POP2020
TX,Texas,,,,82,64
HI,Hawaii,144,130,147,90,82
TX,Texas,425,354,356,286,265
TX,Texas,543,460,414,416,350
NE,Nebraska,593,546,533,539,399
NE,Nebraska,867,675,583,478,431
NE,Nebraska,513,462,444,460,434
MT,Montana,655,519,493,494,496
TX,Texas,789,817,851,707,600
NE,Nebraska,859,683,712,632,607
NE,Nebraska,877,769,747,614,611
TX,Texas,859,799,729,641,631
NM,New Mexico,1090,987,810,695,657
AK,Alaska,,,808,662,662
NE,Nebraska,973,851,729,647,669
NE,Nebraska,918,852,819,690,674
CO,Colorado,833,745,558,699,705
ND,North Dakota,1157,907,767,727,706
NE,Nebraska,990,793,783,736,711
NE,Nebraska,983,878,774,763,716
NV,Nevada,777,1344,971,783,729
TX,Texas,1145,1010,859,808,753
TX,Texas,1595,1410,1081,984,760
MT,Montana,981,874,861,718,762
NE,Nebraska,1301,1029,983,824,769
NE,Nebraska,1060,948,886,818,774
CO,Colorado,408,467,790,843,788
ID,Idaho,798,762,1022,982,790
MT,Montana,1026,912,1042,884,823
TX,Texas,1187,1025,887,929,827
AK,Alaska,1094,1410,1258,997,844
NE,Nebraska,1356,1222,1068,967,856
CO,Colorado,804,558,831,712,865
SD,South Dakota,1463,1324,1193,1006,917
UT,Utah,769,690,921,1059,935
MT,Montana,1476,1191,1068,1017,937
ND,North Dakota,1138,1108,888,783,945
TX,Texas,1950,1532,1426,1210,1063
ID,Idaho,818,727,991,1117,1077
MT,Montana,1836,1383,1199,1179,1088
TX,Texas,2158,1794,1622,1336,1095
TX,Texas,1304,1447,1406,1226,1116
NE,Nebraska,1845,1549,1475,1311,1135
MT,Montana,1656,1589,1279,1206,1173
CA,California,1097,1113,1208,1175,1204
AK,Alaska,,,,968,1240
TX,Texas,2406,2013,1693,1490,1245
NE,Nebraska,2383,2019,1756,1526,1262
SD,South Dakota,2069,1696,1671,1420,1262
ND,North Dakota,2819,2148,1710,1321,1265
KS,Kansas,1845,1774,1534,1247,1284
SD,South Dakota,1700,1669,1353,1255,1311
MS,Mississippi,2513,1909,2274,1406,1338
TX,Texas,1206,1438,1393,1143,1372
SD,South Dakota,2243,1965,1782,1466,1377
CO,Colorado,1863,1605,1577,1394,1379
TX,Texas,2947,2247,1904,1505,1380
MT,Montana,1799,1503,1360,1160,1415
TX,Texas,2033,2266,2162,2002,1422
TX,Texas,2579,1971,1790,1637,1435
UT,Utah,1329,1277,1435,1556,1438
TX,Texas,2053,1880,1850,1641,1440
CO,Colorado,1936,1688,1622,1398,1446
SD,South Dakota,1990,1589,1556,1373,1446
OR,Oregon,1513,1396,1547,1441,1451
AK,Alaska,0,1668,1823,1631,1476
KS,Kansas,2045,1821,1749,1485,1512
TX,Texas,1386,1629,1771,1599,1513
GA,Georgia,2032,1915,2077,1717,1559
KS,Kansas,2472,2375,2155,1750,1574
AK,Alaska,,,1893,1826,1619
NE,Nebraska,2861,2582,2292,2008,1654
MT,Montana,2835,2266,2017,1751,1661
SD,South Dakota,2929,2425,2295,2071,1663
KS,Kansas,2554,2313,1967,1891,1689
MT,Montana,2520,2090,1858,1743,1694
NM,New Mexico,2454,2252,2240,2022,1698
KS,Kansas,2269,2177,2085,1916,1723
MT,Montana,2702,2276,1977,1734,1729
ND,North Dakota,2391,2108,1924,1680,1736
CO,Colorado,2153,2397,2231,1836,1748
TX,Texas,2283,2278,2185,2052,1758
TX,Texas,3539,2571,2762,2444,1770
ND,North Dakota,3106,2420,2258,1975,1798
NE,Nebraska,3331,2835,2438,2099,1810
